epoch,total_loss,pde_loss,energy_loss,boundary_loss,validation_loss
1,3.8478443347e-03,7.6963043738e+00,0.0000000000e+00,0.0000000000e+00,9.7160093389e-04
2,1.8067995501e-03,2.0077335209e+00,0.0000000000e+00,0.0000000000e+00,9.7160093389e-04
3,1.4649676266e-05,1.1270022053e-02,0.0000000000e+00,0.0000000000e+00,9.7160093389e-04
4,2.0123388277e-03,1.1838401424e+00,0.0000000000e+00,0.0000000000e+00,9.7160093389e-04
5,1.8181222180e-03,8.6585494713e-01,0.0000000000e+00,0.0000000000e+00,9.7160093389e-04
6,6.9011332069e-04,2.7607183117e-01,0.0000000000e+00,0.0000000000e+00,9.7160093389e-04
7,4.6113353707e-07,1.5902691883e-04,0.0000000000e+00,0.0000000000e+00,9.7160093389e-04
8,1.0943180689e-03,3.3164369541e-01,0.0000000000e+00,0.0000000000e+00,9.7160093389e-04
9,1.0033931451e-03,2.7121372489e-01,0.0000000000e+00,0.0000000000e+00,9.7160093389e-04
10,3.4493576531e-04,8.4138883137e-02,0.0000000000e+00,0.0000000000e+00,1.9194899088e-05
11,2.2122999402e-05,4.9167028336e-03,0.0000000000e+00,0.0000000000e+00,1.9194899088e-05
12,5.8799555864e-04,1.2001084977e-01,0.0000000000e+00,0.0000000000e+00,1.9194899088e-05
13,6.2383954333e-04,1.1771712382e-01,0.0000000000e+00,0.0000000000e+00,1.9194899088e-05
14,2.2353159912e-04,3.9219923206e-02,0.0000000000e+00,0.0000000000e+00,1.9194899088e-05
15,6.4519069146e-05,1.0577937034e-02,0.0000000000e+00,0.0000000000e+00,1.9194899088e-05
16,5.9101011640e-04,9.0933586753e-02,0.0000000000e+00,0.0000000000e+00,1.9194899088e-05
17,4.1586655457e-04,6.0276455444e-02,0.0000000000e+00,0.0000000000e+00,1.9194899088e-05
18,5.2686152204e-06,7.2179930355e-04,0.0000000000e+00,0.0000000000e+00,1.9194899088e-05
19,7.3753234132e-04,9.5792875831e-02,0.0000000000e+00,0.0000000000e+00,1.9194899088e-05
20,3.0089744600e-04,3.7151502124e-02,0.0000000000e+00,0.0000000000e+00,1.0339474576e-06
21,1.0361617770e-06,1.2191343345e-04,0.0000000000e+00,0.0000000000e+00,1.0339474576e-06
22,2.9529914518e-04,3.3182960246e-02,0.0000000000e+00,0.0000000000e+00,1.0339474576e-06
23,1.5847028534e-04,1.7041501454e-02,0.0000000000e+00,0.0000000000e+00,1.0339474576e-06
24,4.4491776725e-06,4.5872351000e-04,0.0000000000e+00,0.0000000000e+00,1.0339474576e-06
25,1.9393108153e-04,1.9202998468e-02,0.0000000000e+00,0.0000000000e+00,1.0339474576e-06
26,3.6367773245e-05,3.4639405470e-03,0.0000000000e+00,0.0000000000e+00,1.0339474576e-06
27,3.4847024849e-05,3.1972915526e-03,0.0000000000e+00,0.0000000000e+00,1.0339474576e-06
28,1.3601566074e-04,1.2037977281e-02,0.0000000000e+00,0.0000000000e+00,1.0339474576e-06
29,3.4570542630e-08,2.9550402117e-06,0.0000000000e+00,0.0000000000e+00,1.0339474576e-06
30,1.0606008012e-04,8.7661652497e-03,0.0000000000e+00,0.0000000000e+00,3.3402264148e-05
31,3.8894523423e-05,3.1118705714e-03,0.0000000000e+00,0.0000000000e+00,3.3402264148e-05
32,3.5905712355e-05,2.7836647632e-03,0.0000000000e+00,0.0000000000e+00,3.3402264148e-05
33,8.6738030101e-05,6.5223037250e-03,0.0000000000e+00,0.0000000000e+00,3.3402264148e-05
34,4.4102391813e-08,3.2194722843e-06,0.0000000000e+00,0.0000000000e+00,3.3402264148e-05
35,6.7934385781e-05,4.8185199793e-03,0.0000000000e+00,0.0000000000e+00,3.3402264148e-05
36,3.1571398088e-05,2.1775540528e-03,0.0000000000e+00,0.0000000000e+00,3.3402264148e-05
37,3.1505159622e-05,2.1146502889e-03,0.0000000000e+00,0.0000000000e+00,3.3402264148e-05
38,2.7875685251e-05,1.8221212337e-03,0.0000000000e+00,0.0000000000e+00,3.3402264148e-05
39,3.7664527188e-06,2.3992528677e-04,0.0000000000e+00,0.0000000000e+00,3.3402264148e-05
40,2.9328021511e-05,1.8217972911e-03,0.0000000000e+00,0.0000000000e+00,5.3744608166e-09
41,1.2568649348e-08,7.6181204363e-07,0.0000000000e+00,0.0000000000e+00,5.3744608166e-09
42,3.2336345297e-05,1.9135834389e-03,0.0000000000e+00,0.0000000000e+00,5.3744608166e-09
43,4.3571521832e-06,2.5188355046e-04,0.0000000000e+00,0.0000000000e+00,5.3744608166e-09
44,3.7946367546e-05,2.1440757694e-03,0.0000000000e+00,0.0000000000e+00,5.3744608166e-09
45,1.4604269182e-04,8.0694594944e-03,0.0000000000e+00,0.0000000000e+00,5.3744608166e-09
46,5.8402925925e-05,3.1572289311e-03,0.0000000000e+00,0.0000000000e+00,5.3744608166e-09
47,3.1684479808e-03,1.6765942754e-01,0.0000000000e+00,0.0000000000e+00,5.3744608166e-09
48,5.2846557015e-04,2.7384360006e-02,0.0000000000e+00,0.0000000000e+00,5.3744608166e-09
49,2.6692418200e-04,1.3550799064e-02,0.0000000000e+00,0.0000000000e+00,5.3744608166e-09
50,4.3312559065e-04,2.1550681195e-02,0.0000000000e+00,0.0000000000e+00,2.7790713483e-04
51,3.3521419082e-04,1.6353539124e-02,0.0000000000e+00,0.0000000000e+00,2.7790713483e-04
52,2.0936270226e-04,1.0018351217e-02,0.0000000000e+00,0.0000000000e+00,2.7790713483e-04
53,3.4986354588e-04,1.6427153589e-02,0.0000000000e+00,0.0000000000e+00,2.7790713483e-04
54,4.4432492680e-04,2.0477841426e-02,0.0000000000e+00,0.0000000000e+00,2.7790713483e-04
55,1.7222095027e-03,7.7935790112e-02,0.0000000000e+00,0.0000000000e+00,2.7790713483e-04
56,4.0641976734e-05,1.8064899232e-03,0.0000000000e+00,0.0000000000e+00,2.7790713483e-04
57,4.7689359070e-04,2.0827121246e-02,0.0000000000e+00,0.0000000000e+00,2.7790713483e-04
58,2.8992280169e-05,1.2444277786e-03,0.0000000000e+00,0.0000000000e+00,2.7790713483e-04
59,4.6306138067e-04,1.9540400676e-02,0.0000000000e+00,0.0000000000e+00,2.7790713483e-04
60,2.1746504881e-04,9.0243446986e-03,0.0000000000e+00,0.0000000000e+00,3.5366149870e-04
61,3.3712372113e-04,1.3761522418e-02,0.0000000000e+00,0.0000000000e+00,3.5366149870e-04
62,4.6628544684e-04,1.8728188464e-02,0.0000000000e+00,0.0000000000e+00,3.5366149870e-04
63,3.3597279466e-05,1.3280879940e-03,0.0000000000e+00,0.0000000000e+00,3.5366149870e-04
64,3.7898011413e-04,1.4747776982e-02,0.0000000000e+00,0.0000000000e+00,3.5366149870e-04
65,1.1465132382e-05,4.3932086651e-04,0.0000000000e+00,0.0000000000e+00,3.5366149870e-04
66,4.8134087883e-04,1.8165616455e-02,0.0000000000e+00,0.0000000000e+00,3.5366149870e-04
67,1.6498187268e-04,6.1337662148e-03,0.0000000000e+00,0.0000000000e+00,3.5366149870e-04
68,5.5772908957e-04,2.0431672664e-02,0.0000000000e+00,0.0000000000e+00,3.5366149870e-04
69,6.9053829114e-04,2.4931664352e-02,0.0000000000e+00,0.0000000000e+00,3.5366149870e-04
70,1.9860595906e-06,7.0685320622e-05,0.0000000000e+00,0.0000000000e+00,6.3899596977e-04
71,7.7494719373e-04,2.7193839447e-02,0.0000000000e+00,0.0000000000e+00,6.3899596977e-04
72,3.1049732071e-04,1.0744922702e-02,0.0000000000e+00,0.0000000000e+00,6.3899596977e-04
73,2.3811041336e-04,8.1274452387e-03,0.0000000000e+00,0.0000000000e+00,6.3899596977e-04
