point_type,boundary_label,x,y,phi,target,boundary_error,pde_residual,pde_loss,energy_density,grad_norm,tau_eq,total_point_loss
interior,,5.4945056327e-03,5.4945056327e-03,9.9449832777e-01,nan,nan,1.0612428973e-01,1.1262364870e-02,1.8834225154e-01,1.0001315345e+00,1.0001315345e+00,1.1262364870e-02
interior,,1.0989011265e-02,5.4945056327e-03,9.8900257787e-01,nan,nan,-1.4229577188e-01,2.0248086694e-02,1.8808190390e-01,9.9930486560e-01,9.9930486560e-01,2.0248086694e-02
interior,,1.6483517364e-02,5.4945056327e-03,9.8350916013e-01,nan,nan,-5.8712434087e-02,3.4471499164e-03,1.8839520409e-01,1.0002996303e+00,1.0002996303e+00,3.4471499164e-03
interior,,2.1978022531e-02,5.4945056327e-03,9.7801186239e-01,nan,nan,-1.5701755835e-01,2.4654513630e-02,1.8834222075e-01,1.0001314368e+00,1.0001314368e+00,2.4654513630e-02
interior,,2.7472527698e-02,5.4945056327e-03,9.7251811626e-01,nan,nan,-4.1120075847e-02,1.6908606377e-03,1.8827859262e-01,9.9992943306e-01,9.9992943306e-01,1.6908606377e-03
interior,,3.2967034727e-02,5.4945056327e-03,9.6702291737e-01,nan,nan,-2.2134762643e-02,4.8994771726e-04,1.8837953370e-01,1.0002498867e+00,1.0002498867e+00,4.8994771726e-04
interior,,3.8461539894e-02,5.4945056327e-03,9.6152669974e-01,nan,nan,-1.3983108205e-02,1.9552731507e-04,1.8842437630e-01,1.0003922303e+00,1.0003922303e+00,1.9552731507e-04
interior,,4.3956045061e-02,5.4945056327e-03,9.5602972400e-01,nan,nan,-7.7342164005e-02,5.9818103329e-03,1.8844238925e-01,1.0004494058e+00,1.0004494058e+00,5.9818103329e-03
interior,,4.9450550228e-02,5.4945056327e-03,9.5053319867e-01,nan,nan,-9.3731215728e-02,8.7855408018e-03,1.8841139951e-01,1.0003510392e+00,1.0003510392e+00,8.7855408018e-03
interior,,5.4945055395e-02,5.4945056327e-03,9.4503565805e-01,nan,nan,-5.5786223429e-02,3.1121027245e-03,1.8854682061e-01,1.0007808529e+00,1.0007808529e+00,3.1121027245e-03
interior,,6.0439560562e-02,5.4945056327e-03,9.3953753234e-01,nan,nan,-8.1099340312e-02,6.5771029991e-03,1.8840299399e-01,1.0003243578e+00,1.0003243578e+00,6.5771029991e-03
interior,,6.5934069455e-02,5.4945056327e-03,9.3404335828e-01,nan,nan,1.2279232287e-03,1.5077954556e-06,1.8822811691e-01,9.9976917057e-01,9.9976917057e-01,1.5077954556e-06
interior,,7.1428574622e-02,5.4945056327e-03,9.2854930860e-01,nan,nan,4.2164403482e-02,1.7778369210e-03,1.8832063841e-01,1.0000629204e+00,1.0000629204e+00,1.7778369210e-03
interior,,7.6923079789e-02,5.4945056327e-03,9.2305541582e-01,nan,nan,5.8290594433e-02,3.3977933993e-03,1.8819212868e-01,9.9965489859e-01,9.9965489859e-01,3.3977933993e-03
interior,,8.2417584956e-02,5.4945056327e-03,9.1756252468e-01,nan,nan,1.4134928758e-01,1.9979621100e-02,1.8832754249e-01,1.0000848387e+00,1.0000848387e+00,1.9979621100e-02
interior,,8.7912090123e-02,5.4945056327e-03,9.1206423884e-01,nan,nan,-3.9964517398e-02,1.5971626509e-03,1.8860586951e-01,1.0009682396e+00,1.0009682396e+00,1.5971626509e-03
interior,,9.3406595290e-02,5.4945056327e-03,9.0656756825e-01,nan,nan,-1.6360317529e-02,2.6765998964e-04,1.8834546548e-01,1.0001417374e+00,1.0001417374e+00,2.6765998964e-04
interior,,9.8901100457e-02,5.4945056327e-03,9.0107126922e-01,nan,nan,8.1027831271e-02,6.5655094404e-03,1.8838848786e-01,1.0002783107e+00,1.0002783107e+00,6.5655094404e-03
interior,,1.0439560562e-01,5.4945056327e-03,8.9557531158e-01,nan,nan,5.1286713651e-02,2.6303269972e-03,1.8838629160e-01,1.0002713389e+00,1.0002713389e+00,2.6303269972e-03
interior,,1.0989011079e-01,5.4945056327e-03,8.9008056957e-01,nan,nan,5.1119105891e-02,2.6131629871e-03,1.8825277641e-01,9.9984746713e-01,9.9984746713e-01,2.6131629871e-03
interior,,1.1538461596e-01,5.4945056327e-03,8.8458710899e-01,nan,nan,7.9654760786e-02,6.3448809159e-03,1.8827169490e-01,9.9990753327e-01,9.9990753327e-01,6.3448809159e-03
interior,,1.2087912112e-01,5.4945056327e-03,8.7909238128e-01,nan,nan,3.8663394342e-02,1.4948580620e-03,1.8835604916e-01,1.0001753359e+00,1.0001753359e+00,1.4948580620e-03
interior,,1.2637363374e-01,5.4945056327e-03,8.7359681846e-01,nan,nan,2.0630767189e-02,4.2562855481e-04,1.8836324980e-01,1.0001981944e+00,1.0001981944e+00,4.2562855481e-04
interior,,1.3186813891e-01,5.4945056327e-03,8.6810159555e-01,nan,nan,6.0951403019e-02,3.7150735299e-03,1.8832907070e-01,1.0000896903e+00,1.0000896903e+00,3.7150735299e-03
interior,,1.3736264408e-01,5.4945056327e-03,8.6260689861e-01,nan,nan,1.2857462600e-01,1.6531434452e-02,1.8831566630e-01,1.0000471354e+00,1.0000471354e+00,1.6531434452e-02
interior,,1.4285714924e-01,5.4945056327e-03,8.5711172352e-01,nan,nan,1.7958837854e-01,3.2251985708e-02,1.8839515280e-01,1.0002994675e+00,1.0002994675e+00,3.2251985708e-02
interior,,1.4835165441e-01,5.4945056327e-03,8.5161427309e-01,nan,nan,1.6664075479e-01,2.7769141158e-02,1.8856321354e-01,1.0008328762e+00,1.0008328762e+00,2.7769141158e-02
interior,,1.5384615958e-01,5.4945056327e-03,8.4611415778e-01,nan,nan,8.2617613749e-02,6.8256701016e-03,1.8867337607e-01,1.0011824445e+00,1.0011824445e+00,6.8256701016e-03
interior,,1.5934066474e-01,5.4945056327e-03,8.4061368951e-01,nan,nan,-1.9843206315e-02,3.9375283687e-04,1.8860027504e-01,1.0009504868e+00,1.0009504868e+00,3.9375283687e-04
interior,,1.6483516991e-01,5.4945056327e-03,8.3511590248e-01,nan,nan,-8.1782513651e-02,6.6883795391e-03,1.8839449255e-01,1.0002973716e+00,1.0002973716e+00,6.6883795391e-03
interior,,1.7032967508e-01,5.4945056327e-03,8.2962149329e-01,nan,nan,-7.7033523255e-02,5.9341637051e-03,1.8824972126e-01,9.9983776686e-01,9.9983776686e-01,5.9341637051e-03
interior,,1.7582418025e-01,5.4945056327e-03,8.2412805523e-01,nan,nan,-3.6148781380e-02,1.3067343953e-03,1.8827546004e-01,9.9991948738e-01,9.9991948738e-01,1.3067343953e-03
interior,,1.8131868541e-01,5.4945056327e-03,8.1863399306e-01,nan,nan,-1.5568883127e-02,2.4239012183e-04,1.8827031769e-01,9.9990316071e-01,9.9990316071e-01,2.4239012183e-04
interior,,1.8681319058e-01,5.4945056327e-03,8.1314147273e-01,nan,nan,5.3344476711e-03,2.8456331955e-05,1.8812374033e-01,9.9943772980e-01,9.9943772980e-01,2.8456331955e-05
interior,,1.9230769575e-01,5.4945056327e-03,8.0765094177e-01,nan,nan,3.5751940440e-02,1.2782012452e-03,1.8807008265e-01,9.9926732205e-01,9.9926732205e-01,1.2782012452e-03
interior,,1.9780220091e-01,5.4945056327e-03,8.0215986740e-01,nan,nan,5.3530009068e-02,2.8654618709e-03,1.8818840094e-01,9.9964306168e-01,9.9964306168e-01,2.8654618709e-03
interior,,2.0329670608e-01,5.4945056327e-03,7.9666513752e-01,nan,nan,4.1892027974e-02,1.7549420077e-03,1.8845951341e-01,1.0005037587e+00,1.0005037587e+00,1.7549420077e-03
interior,,2.0879121125e-01,5.4945056327e-03,7.9116633497e-01,nan,nan,-2.2062143443e-02,4.8673817332e-04,1.8860801155e-01,1.0009750369e+00,1.0009750369e+00,4.8673817332e-04
interior,,2.1428571641e-01,5.4945056327e-03,7.8566713323e-01,nan,nan,-8.1604461562e-02,6.6592881469e-03,1.8852415430e-01,1.0007089186e+00,1.0007089186e+00,6.6592881469e-03
interior,,2.1978022158e-01,5.4945056327e-03,7.8017023001e-01,nan,nan,-8.7266628269e-02,7.6154644094e-03,1.8838278031e-01,1.0002601928e+00,1.0002601928e+00,7.6154644094e-03
interior,,2.2527472675e-01,5.4945056327e-03,7.7467516916e-01,nan,nan,-5.1270224499e-02,2.6286359202e-03,1.8832515044e-01,1.0000772447e+00,1.0000772447e+00,2.6286359202e-03
interior,,2.3076923192e-01,5.4945056327e-03,7.6918030554e-01,nan,nan,-1.9667473317e-02,3.8680950667e-04,1.8835339203e-01,1.0001669007e+00,1.0001669007e+00,3.8680950667e-04
interior,,2.3626373708e-01,5.4945056327e-03,7.6368462351e-01,nan,nan,-1.5982270765e-02,2.5543297880e-04,1.8840741620e-01,1.0003383952e+00,1.0003383952e+00,2.5543297880e-04
interior,,2.4175824225e-01,5.4945056327e-03,7.5818835096e-01,nan,nan,-2.6726712420e-02,7.1431715680e-04,1.8840861717e-01,1.0003422073e+00,1.0003422073e+00,7.1431715680e-04
