epoch,total_loss,pde_loss,energy_loss,boundary_loss,validation_loss
1,7.5999393463e+01,0.0000000000e+00,7.5999393463e+01,0.0000000000e+00,7.1245277405e+01
2,7.0475618998e+01,0.0000000000e+00,7.0475618998e+01,0.0000000000e+00,7.1245277405e+01
3,6.9698642731e+01,0.0000000000e+00,6.9698642731e+01,0.0000000000e+00,7.1245277405e+01
4,7.4150613149e+01,0.0000000000e+00,7.4150613149e+01,0.0000000000e+00,7.1245277405e+01
5,7.1782371521e+01,0.0000000000e+00,7.1782371521e+01,0.0000000000e+00,7.1245277405e+01
6,7.6384316762e+01,0.0000000000e+00,7.6384316762e+01,0.0000000000e+00,7.1245277405e+01
7,7.3262557983e+01,0.0000000000e+00,7.3262557983e+01,0.0000000000e+00,7.1245277405e+01
8,7.0568241119e+01,0.0000000000e+00,7.0568241119e+01,0.0000000000e+00,7.1245277405e+01
9,6.8068589528e+01,0.0000000000e+00,6.8068589528e+01,0.0000000000e+00,7.1245277405e+01
10,7.0217992783e+01,0.0000000000e+00,7.0217992783e+01,0.0000000000e+00,7.0869300842e+01
11,7.2206474304e+01,0.0000000000e+00,7.2206474304e+01,0.0000000000e+00,7.0869300842e+01
12,7.1181364695e+01,0.0000000000e+00,7.1181364695e+01,0.0000000000e+00,7.0869300842e+01
13,7.1526274363e+01,0.0000000000e+00,7.1526274363e+01,0.0000000000e+00,7.0869300842e+01
14,7.1374679565e+01,0.0000000000e+00,7.1374679565e+01,0.0000000000e+00,7.0869300842e+01
15,7.2130784353e+01,0.0000000000e+00,7.2130784353e+01,0.0000000000e+00,7.0869300842e+01
16,6.8309729894e+01,0.0000000000e+00,6.8309729894e+01,0.0000000000e+00,7.0869300842e+01
17,6.8584922791e+01,0.0000000000e+00,6.8584922791e+01,0.0000000000e+00,7.0869300842e+01
18,7.1120100657e+01,0.0000000000e+00,7.1120100657e+01,0.0000000000e+00,7.0869300842e+01
19,7.0315816243e+01,0.0000000000e+00,7.0315816243e+01,0.0000000000e+00,7.0869300842e+01
20,7.2410217285e+01,0.0000000000e+00,7.2410217285e+01,0.0000000000e+00,7.0293769836e+01
21,7.1296857198e+01,0.0000000000e+00,7.1296857198e+01,0.0000000000e+00,7.0293769836e+01
22,6.9853157043e+01,0.0000000000e+00,6.9853157043e+01,0.0000000000e+00,7.0293769836e+01
23,6.8917466482e+01,0.0000000000e+00,6.8917466482e+01,0.0000000000e+00,7.0293769836e+01
24,6.8345912933e+01,0.0000000000e+00,6.8345912933e+01,0.0000000000e+00,7.0293769836e+01
25,7.0721389771e+01,0.0000000000e+00,7.0721389771e+01,0.0000000000e+00,7.0293769836e+01
26,6.7390206655e+01,0.0000000000e+00,6.7390206655e+01,0.0000000000e+00,7.0293769836e+01
27,6.9149341583e+01,0.0000000000e+00,6.9149341583e+01,0.0000000000e+00,7.0293769836e+01
28,6.4214302063e+01,0.0000000000e+00,6.4214302063e+01,0.0000000000e+00,7.0293769836e+01
29,6.8596566518e+01,0.0000000000e+00,6.8596566518e+01,0.0000000000e+00,7.0293769836e+01
30,6.7666755676e+01,0.0000000000e+00,6.7666755676e+01,0.0000000000e+00,6.5283607483e+01
31,6.7761647542e+01,0.0000000000e+00,6.7761647542e+01,0.0000000000e+00,6.5283607483e+01
32,6.8865463257e+01,0.0000000000e+00,6.8865463257e+01,0.0000000000e+00,6.5283607483e+01
33,6.9248079936e+01,0.0000000000e+00,6.9248079936e+01,0.0000000000e+00,6.5283607483e+01
34,6.6187763850e+01,0.0000000000e+00,6.6187763850e+01,0.0000000000e+00,6.5283607483e+01
35,6.6112169266e+01,0.0000000000e+00,6.6112169266e+01,0.0000000000e+00,6.5283607483e+01
36,6.7913233439e+01,0.0000000000e+00,6.7913233439e+01,0.0000000000e+00,6.5283607483e+01
37,6.7276851654e+01,0.0000000000e+00,6.7276851654e+01,0.0000000000e+00,6.5283607483e+01
38,6.5848879496e+01,0.0000000000e+00,6.5848879496e+01,0.0000000000e+00,6.5283607483e+01
39,6.3667168935e+01,0.0000000000e+00,6.3667168935e+01,0.0000000000e+00,6.5283607483e+01
40,6.5287357966e+01,0.0000000000e+00,6.5287357966e+01,0.0000000000e+00,6.4217857361e+01
41,6.6567438761e+01,0.0000000000e+00,6.6567438761e+01,0.0000000000e+00,6.4217857361e+01
42,6.4546358109e+01,0.0000000000e+00,6.4546358109e+01,0.0000000000e+00,6.4217857361e+01
43,6.2822510401e+01,0.0000000000e+00,6.2822510401e+01,0.0000000000e+00,6.4217857361e+01
44,6.5317586899e+01,0.0000000000e+00,6.5317586899e+01,0.0000000000e+00,6.4217857361e+01
45,6.3743768056e+01,0.0000000000e+00,6.3743768056e+01,0.0000000000e+00,6.4217857361e+01
46,6.4306974411e+01,0.0000000000e+00,6.4306974411e+01,0.0000000000e+00,6.4217857361e+01
47,6.5873439789e+01,0.0000000000e+00,6.5873439789e+01,0.0000000000e+00,6.4217857361e+01
48,6.3706612905e+01,0.0000000000e+00,6.3706612905e+01,0.0000000000e+00,6.4217857361e+01
49,6.3231798808e+01,0.0000000000e+00,6.3231798808e+01,0.0000000000e+00,6.4217857361e+01
50,6.3738496780e+01,0.0000000000e+00,6.3738496780e+01,0.0000000000e+00,6.3663372040e+01
51,6.3286604563e+01,0.0000000000e+00,6.3286604563e+01,0.0000000000e+00,6.3663372040e+01
52,6.2752882640e+01,0.0000000000e+00,6.2752882640e+01,0.0000000000e+00,6.3663372040e+01
53,6.3609086355e+01,0.0000000000e+00,6.3609086355e+01,0.0000000000e+00,6.3663372040e+01
54,6.2635821660e+01,0.0000000000e+00,6.2635821660e+01,0.0000000000e+00,6.3663372040e+01
55,6.4293704351e+01,0.0000000000e+00,6.4293704351e+01,0.0000000000e+00,6.3663372040e+01
56,6.1441869100e+01,0.0000000000e+00,6.1441869100e+01,0.0000000000e+00,6.3663372040e+01
57,6.1811148326e+01,0.0000000000e+00,6.1811148326e+01,0.0000000000e+00,6.3663372040e+01
58,6.2103069305e+01,0.0000000000e+00,6.2103069305e+01,0.0000000000e+00,6.3663372040e+01
59,6.2095171611e+01,0.0000000000e+00,6.2095171611e+01,0.0000000000e+00,6.3663372040e+01
60,6.1494087855e+01,0.0000000000e+00,6.1494087855e+01,0.0000000000e+00,5.9444793701e+01
61,6.2441951116e+01,0.0000000000e+00,6.2441951116e+01,0.0000000000e+00,5.9444793701e+01
62,5.8675059636e+01,0.0000000000e+00,5.8675059636e+01,0.0000000000e+00,5.9444793701e+01
63,6.0270595551e+01,0.0000000000e+00,6.0270595551e+01,0.0000000000e+00,5.9444793701e+01
64,5.8315020243e+01,0.0000000000e+00,5.8315020243e+01,2.5049406993e-15,5.9444793701e+01
65,5.9703091304e+01,0.0000000000e+00,5.9703091304e+01,0.0000000000e+00,5.9444793701e+01
66,5.9204765320e+01,0.0000000000e+00,5.9204765320e+01,0.0000000000e+00,5.9444793701e+01
67,6.1090439479e+01,0.0000000000e+00,6.1090439479e+01,0.0000000000e+00,5.9444793701e+01
68,5.7675870895e+01,0.0000000000e+00,5.7675870895e+01,0.0000000000e+00,5.9444793701e+01
69,5.9823733012e+01,0.0000000000e+00,5.9823733012e+01,0.0000000000e+00,5.9444793701e+01
70,5.8831774394e+01,0.0000000000e+00,5.8831774394e+01,0.0000000000e+00,5.8628814697e+01
71,5.9037181218e+01,0.0000000000e+00,5.9037181218e+01,0.0000000000e+00,5.8628814697e+01
72,5.5983553569e+01,0.0000000000e+00,5.5983553569e+01,0.0000000000e+00,5.8628814697e+01
73,5.7880210876e+01,0.0000000000e+00,5.7880210876e+01,0.0000000000e+00,5.8628814697e+01
74,5.8691185633e+01,0.0000000000e+00,5.8691185633e+01,0.0000000000e+00,5.8628814697e+01
75,6.1269888560e+01,0.0000000000e+00,6.1269888560e+01,0.0000000000e+00,5.8628814697e+01
76,5.9974419276e+01,0.0000000000e+00,5.9974419276e+01,0.0000000000e+00,5.8628814697e+01
77,5.7032286326e+01,0.0000000000e+00,5.7032286326e+01,0.0000000000e+00,5.8628814697e+01
78,5.9357302348e+01,0.0000000000e+00,5.9357302348e+01,0.0000000000e+00,5.8628814697e+01
79,5.9545246124e+01,0.0000000000e+00,5.9545246124e+01,0.0000000000e+00,5.8628814697e+01
80,5.6995267232e+01,0.0000000000e+00,5.6995267232e+01,0.0000000000e+00,5.6020217896e+01
81,5.6903803507e+01,0.0000000000e+00,5.6903803507e+01,0.0000000000e+00,5.6020217896e+01
82,5.6855576197e+01,0.0000000000e+00,5.6855576197e+01,0.0000000000e+00,5.6020217896e+01
83,5.7450510661e+01,0.0000000000e+00,5.7450510661e+01,0.0000000000e+00,5.6020217896e+01
84,5.6722185135e+01,0.0000000000e+00,5.6722185135e+01,0.0000000000e+00,5.6020217896e+01
85,5.5807437897e+01,0.0000000000e+00,5.5807437897e+01,0.0000000000e+00,5.6020217896e+01
86,5.9029396057e+01,0.0000000000e+00,5.9029396057e+01,0.0000000000e+00,5.6020217896e+01
87,6.0484319051e+01,0.0000000000e+00,6.0484319051e+01,0.0000000000e+00,5.6020217896e+01
88,5.4941031774e+01,0.0000000000e+00,5.4941031774e+01,0.0000000000e+00,5.6020217896e+01
89,5.6411868413e+01,0.0000000000e+00,5.6411868413e+01,0.0000000000e+00,5.6020217896e+01
90,5.7027940114e+01,0.0000000000e+00,5.7027940114e+01,0.0000000000e+00,5.4534221649e+01
91,5.7160601298e+01,0.0000000000e+00,5.7160601298e+01,0.0000000000e+00,5.4534221649e+01
92,5.5757401784e+01,0.0000000000e+00,5.5757401784e+01,0.0000000000e+00,5.4534221649e+01
93,5.5124783834e+01,0.0000000000e+00,5.5124783834e+01,0.0000000000e+00,5.4534221649e+01
