point_type,boundary_label,x,y,phi,target,boundary_error,pde_residual,pde_loss,energy_density,grad_norm,tau_eq,total_point_loss
interior,,5.4945056327e-03,5.4945056327e-03,9.9722838402e-01,nan,nan,1.4579160213e+00,2.1255190372e+00,1.2105744332e-02,1.1183997393e+00,1.1183997393e+00,5.4348550364e-01
interior,,1.0989011265e-02,5.4945056327e-03,9.9117529392e-01,nan,nan,-2.5437450409e-01,6.4706385136e-02,1.4981068671e-02,1.2863761187e+00,1.2863761187e+00,3.1157664955e-02
interior,,1.6483517364e-02,5.4945056327e-03,9.8512732983e-01,nan,nan,-6.8495512009e-01,4.6916350722e-01,1.3532642275e-02,1.2031995058e+00,1.2031995058e+00,1.3082351908e-01
interior,,2.1978022531e-02,5.4945056327e-03,9.7927498817e-01,nan,nan,-7.6963448524e-01,5.9233725071e-01,1.2417162769e-02,1.1371711493e+00,1.1371711493e+00,1.6050147545e-01
interior,,2.7472527698e-02,5.4945056327e-03,9.7354245186e-01,nan,nan,-7.4724066257e-01,5.5836862326e-01,1.1734244414e-02,1.0958005190e+00,1.0958005190e+00,1.5132640023e-01
interior,,3.2967034727e-02,5.4945056327e-03,9.6788078547e-01,nan,nan,-6.9349443913e-01,4.8093453050e-01,1.1307860725e-02,1.0695745945e+00,1.0695745945e+00,1.3154149335e-01
interior,,3.8461539894e-02,5.4945056327e-03,9.6226346493e-01,nan,nan,-6.3597911596e-01,4.0446943045e-01,1.1028794572e-02,1.0522357225e+00,1.0522357225e+00,1.1214615218e-01
interior,,4.3956045061e-02,5.4945056327e-03,9.5667582750e-01,nan,nan,-5.7886350155e-01,3.3508294821e-01,1.0843382217e-02,1.0406368971e+00,1.0406368971e+00,9.4614119269e-02
interior,,4.9450550228e-02,5.4945056327e-03,9.5110660791e-01,nan,nan,-5.3080081940e-01,2.8174951673e-01,1.0714218020e-02,1.0325185061e+00,1.0325185061e+00,8.1151597202e-02
interior,,5.4945055395e-02,5.4945056327e-03,9.4555205107e-01,nan,nan,-4.8633813858e-01,2.3652479053e-01,1.0613513179e-02,1.0261667967e+00,1.0261667967e+00,6.9744710810e-02
interior,,6.0439560562e-02,5.4945056327e-03,9.4000798464e-01,nan,nan,-4.4748333097e-01,2.0024132729e-01,1.0543742217e-02,1.0217545033e+00,1.0217545033e+00,6.0604074039e-02
interior,,6.5934069455e-02,5.4945056327e-03,9.3447190523e-01,nan,nan,-4.1423460841e-01,1.7159031332e-01,1.0483744554e-02,1.0179529190e+00,1.0179529190e+00,5.3381322883e-02
interior,,7.1428574622e-02,5.4945056327e-03,9.2894411087e-01,nan,nan,-3.8346153498e-01,1.4704275131e-01,1.0437765159e-02,1.0150345564e+00,1.0150345564e+00,4.7198452987e-02
interior,,7.6923079789e-02,5.4945056327e-03,9.2342048883e-01,nan,nan,-3.5488960147e-01,1.2594662607e-01,1.0407256894e-02,1.0130958557e+00,1.0130958557e+00,4.1893913411e-02
interior,,8.2417584956e-02,5.4945056327e-03,9.1789966822e-01,nan,nan,-3.3075666428e-01,1.0939997435e-01,1.0379879735e-02,1.0113546848e+00,1.0113546848e+00,3.7729873322e-02
interior,,8.7912090123e-02,5.4945056327e-03,9.1238206625e-01,nan,nan,-3.1065633893e-01,9.6507363021e-02,1.0357641615e-02,1.0099391937e+00,1.0099391937e+00,3.4484482370e-02
interior,,9.3406595290e-02,5.4945056327e-03,9.0686708689e-01,nan,nan,-2.9223644733e-01,8.5402138531e-02,1.0337761603e-02,1.0086728334e+00,1.0086728334e+00,3.1688296236e-02
interior,,9.8901100457e-02,5.4945056327e-03,9.0135455132e-01,nan,nan,-2.7285882831e-01,7.4451938272e-02,1.0323647410e-02,1.0077733994e+00,1.0077733994e+00,2.8936631978e-02
interior,,1.0439560562e-01,5.4945056327e-03,8.9584332705e-01,nan,nan,-2.5866425037e-01,6.6907197237e-02,1.0309467092e-02,1.0068693161e+00,1.0068693161e+00,2.7036266401e-02
interior,,1.0989011079e-01,5.4945056327e-03,8.9033418894e-01,nan,nan,-2.4437223375e-01,5.9717789292e-02,1.0297137313e-02,1.0060828924e+00,1.0060828924e+00,2.5226584636e-02
interior,,1.1538461596e-01,5.4945056327e-03,8.8482624292e-01,nan,nan,-2.3268896341e-01,5.4144155234e-02,1.0288292542e-02,1.0055185556e+00,1.0055185556e+00,2.3824331351e-02
interior,,1.2087912112e-01,5.4945056327e-03,8.7931978703e-01,nan,nan,-2.2118373215e-01,4.8922244459e-02,1.0278527625e-02,1.0048953295e+00,1.0048953295e+00,2.2509088740e-02
interior,,1.2637363374e-01,5.4945056327e-03,8.7381440401e-01,nan,nan,-2.0969575644e-01,4.3972309679e-02,1.0271769948e-02,1.0044637918e+00,1.0044637918e+00,2.1264847368e-02
interior,,1.3186813891e-01,5.4945056327e-03,8.6830985546e-01,nan,nan,-1.9991843402e-01,3.9967380464e-02,1.0265534744e-02,1.0040657520e+00,1.0040657520e+00,2.0257379860e-02
interior,,1.3736264408e-01,5.4945056327e-03,8.6280590296e-01,nan,nan,-1.8866585195e-01,3.5594802350e-02,1.0261480696e-02,1.0038068295e+00,1.0038068295e+00,1.9160181284e-02
interior,,1.4285714924e-01,5.4945056327e-03,8.5730236769e-01,nan,nan,-1.7974537611e-01,3.2308399677e-02,1.0252024978e-02,1.0032027960e+00,1.0032027960e+00,1.8329124898e-02
interior,,1.4835165441e-01,5.4945056327e-03,8.5180068016e-01,nan,nan,-1.7287838459e-01,2.9886936769e-02,1.0249710642e-02,1.0030549765e+00,1.0030549765e+00,1.7721444834e-02
interior,,1.5384615958e-01,5.4945056327e-03,8.4629851580e-01,nan,nan,-1.6587619483e-01,2.7514912188e-02,1.0247753002e-02,1.0029299259e+00,1.0029299259e+00,1.7126481049e-02
interior,,1.5934066474e-01,5.4945056327e-03,8.4079641104e-01,nan,nan,-1.5905369818e-01,2.5298079476e-02,1.0244094767e-02,1.0026961565e+00,1.0026961565e+00,1.6568614636e-02
interior,,1.6483516991e-01,5.4945056327e-03,8.3529615402e-01,nan,nan,-1.5170370042e-01,2.3014012724e-02,1.0236887261e-02,1.0022354126e+00,1.0022354126e+00,1.5990390442e-02
interior,,1.7032967508e-01,5.4945056327e-03,8.2979595661e-01,nan,nan,-1.4603419602e-01,2.1325986832e-02,1.0236577131e-02,1.0022156239e+00,1.0022156239e+00,1.5568073839e-02
interior,,1.7582418025e-01,5.4945056327e-03,8.2429563999e-01,nan,nan,-1.4134627581e-01,1.9978769124e-02,1.0236849077e-02,1.0022330284e+00,1.0022330284e+00,1.5231541358e-02
interior,,1.8131868541e-01,5.4945056327e-03,8.1879484653e-01,nan,nan,-1.3590335846e-01,1.8469722942e-02,1.0234047659e-02,1.0020539761e+00,1.0020539761e+00,1.4851478394e-02
interior,,1.8681319058e-01,5.4945056327e-03,8.1329512596e-01,nan,nan,-1.2925221026e-01,1.6706133261e-02,1.0229495354e-02,1.0017628670e+00,1.0017628670e+00,1.4406028669e-02
interior,,1.9230769575e-01,5.4945056327e-03,8.0779600143e-01,nan,nan,-1.2346332520e-01,1.5243193135e-02,1.0228045285e-02,1.0016702414e+00,1.0016702414e+00,1.4038843568e-02
interior,,1.9780220091e-01,5.4945056327e-03,8.0229687691e-01,nan,nan,-1.1980182678e-01,1.4352478087e-02,1.0227102786e-02,1.0016099215e+00,1.0016099215e+00,1.3815222308e-02
interior,,2.0329670608e-01,5.4945056327e-03,7.9679775238e-01,nan,nan,-1.1606442928e-01,1.3470951468e-02,1.0225724429e-02,1.0015218258e+00,1.0015218258e+00,1.3593462296e-02
interior,,2.0879121125e-01,5.4945056327e-03,7.9129916430e-01,nan,nan,-1.1025731266e-01,1.2156674638e-02,1.0223918594e-02,1.0014063120e+00,1.0014063120e+00,1.3263087254e-02
interior,,2.1428571641e-01,5.4945056327e-03,7.8580039740e-01,nan,nan,-1.0790808499e-01,1.1644154787e-02,1.0221095756e-02,1.0012258291e+00,1.0012258291e+00,1.3132134452e-02
interior,,2.1978022158e-01,5.4945056327e-03,7.8030246496e-01,nan,nan,-1.0294549912e-01,1.0597775690e-02,1.0222386569e-02,1.0013083220e+00,1.0013083220e+00,1.2871830491e-02
interior,,2.2527472675e-01,5.4945056327e-03,7.7480387688e-01,nan,nan,-9.9016480148e-02,9.8042637110e-03,1.0221817531e-02,1.0012720823e+00,1.0012720823e+00,1.2672883458e-02
interior,,2.3076923192e-01,5.4945056327e-03,7.6930457354e-01,nan,nan,-9.7645290196e-02,9.5346029848e-03,1.0221989825e-02,1.0012830496e+00,1.0012830496e+00,1.2605640572e-02
interior,,2.3626373708e-01,5.4945056327e-03,7.6380705833e-01,nan,nan,-9.2236943543e-02,8.5076540709e-03,1.0215383023e-02,1.0008604527e+00,1.0008604527e+00,1.2342296541e-02
interior,,2.4175824225e-01,5.4945056327e-03,7.5830972195e-01,nan,nan,-8.9035108685e-02,7.9272501171e-03,1.0216594674e-02,1.0009379387e+00,1.0009379387e+00,1.2198407203e-02
interior,,2.4725274742e-01,5.4945056327e-03,7.5281214714e-01,nan,nan,-8.5833363235e-02,7.3673664592e-03,1.0216380470e-02,1.0009242296e+00,1.0009242296e+00,1.2058222084e-02
interior,,2.5274726748e-01,5.4945056327e-03,7.4731469154e-01,nan,nan,-8.2891672850e-02,6.8710292690e-03,1.0214556009e-02,1.0008075237e+00,1.0008075237e+00,1.1932313326e-02
interior,,2.5824177265e-01,5.4945056327e-03,7.4181735516e-01,nan,nan,-7.9623773694e-02,6.3399453647e-03,1.0215338320e-02,1.0008577108e+00,1.0008577108e+00,1.1800324661e-02
interior,,2.6373627782e-01,5.4945056327e-03,7.3632013798e-01,nan,nan,-7.7055536211e-02,5.9375558048e-03,1.0212933645e-02,1.0007038116e+00,1.0007038116e+00,1.1697322596e-02
interior,,2.6923078299e-01,5.4945056327e-03,7.3082298040e-01,nan,nan,-7.4596934021e-02,5.5647026747e-03,1.0213550180e-02,1.0007432699e+00,1.0007432699e+00,1.1604725849e-02
